Feature ID,Ranking (1 = most important),Feature
88,13,LEFT_SHOULDER_POS_y__approximate_entropy__m_20__r_0.05
99,13,LEFT_SHOULDER_DIST_x__cid_ce__normalize_True
127,13,RIGHT_SHOULDER_DIST_x__abs_energy
138,13,RIGHT_SHOULDER_DIST_y__mean
145,13,LEFT_ELBOW_POS_x__abs_energy
147,13,LEFT_ELBOW_POS_x__mean
169,13,LEFT_ELBOW_DIST_x__approximate_entropy__m_20__r_0.05
186,13,RIGHT_ELBOW_POS_x__autocorrelation__lag_1
194,13,RIGHT_ELBOW_POS_y__maximum
202,13,RIGHT_ELBOW_DIST_x__standard_deviation
235,13,LEFT_WRIST_DIST_x__abs_energy
315,13,LEFT_HIP_DIST_x__cid_ce__normalize_True
338,13,RIGHT_HIP_POS_y__maximum
346,13,RIGHT_HIP_DIST_x__standard_deviation
367,13,LEFT_KNEE_POS_x__approximate_entropy__m_20__r_0.05
376,13,LEFT_KNEE_POS_y__approximate_entropy__m_20__r_0.05
403,13,RIGHT_KNEE_POS_x__approximate_entropy__m_20__r_0.05
412,13,RIGHT_KNEE_POS_y__approximate_entropy__m_20__r_0.05
430,13,RIGHT_KNEE_DIST_y__approximate_entropy__m_20__r_0.05
490,13,RIGHT_ANKLE_DIST_x__standard_deviation
0,14,Unnamed: 0.1
12,14,LEFT_EYE_OUTER_POS_y__mean
37,14,RIGHT_EYE_OUTER_POS_x__abs_energy
42,14,RIGHT_EYE_OUTER_POS_x__autocorrelation__lag_1
53,14,RIGHT_EYE_OUTER_POS_y__c3__lag_1
75,14,LEFT_SHOULDER_POS_x__mean
135,14,RIGHT_SHOULDER_DIST_x__cid_ce__normalize_True
136,14,RIGHT_SHOULDER_DIST_y__abs_energy
151,14,LEFT_ELBOW_POS_x__approximate_entropy__m_20__r_0.05
156,14,LEFT_ELBOW_POS_y__mean
161,14,LEFT_ELBOW_POS_y__c3__lag_1
181,14,RIGHT_ELBOW_POS_x__abs_energy
224,14,LEFT_WRIST_POS_x__c3__lag_1
289,14,LEFT_HIP_POS_x__abs_energy
300,14,LEFT_HIP_POS_y__mean
303,14,LEFT_HIP_POS_y__autocorrelation__lag_1
352,14,RIGHT_HIP_DIST_y__abs_energy
377,14,LEFT_KNEE_POS_y__c3__lag_1
379,14,LEFT_KNEE_DIST_x__abs_energy
421,14,RIGHT_KNEE_DIST_x__approximate_entropy__m_20__r_0.05
433,14,LEFT_ANKLE_POS_x__abs_energy
457,14,LEFT_ANKLE_DIST_x__approximate_entropy__m_20__r_0.05
460,14,LEFT_ANKLE_DIST_y__abs_energy
466,14,LEFT_ANKLE_DIST_y__approximate_entropy__m_20__r_0.05
493,14,RIGHT_ANKLE_DIST_x__approximate_entropy__m_20__r_0.05
25,15,LEFT_EYE_OUTER_DIST_x__approximate_entropy__m_20__r_0.05
40,15,RIGHT_EYE_OUTER_POS_x__standard_deviation
48,15,RIGHT_EYE_OUTER_POS_y__mean
70,15,RIGHT_EYE_OUTER_DIST_y__approximate_entropy__m_20__r_0.05
79,15,LEFT_SHOULDER_POS_x__approximate_entropy__m_20__r_0.05
84,15,LEFT_SHOULDER_POS_y__mean
93,15,LEFT_SHOULDER_DIST_x__mean
94,15,LEFT_SHOULDER_DIST_x__standard_deviation
100,15,LEFT_SHOULDER_DIST_y__abs_energy
115,15,RIGHT_SHOULDER_POS_x__approximate_entropy__m_20__r_0.05
125,15,RIGHT_SHOULDER_POS_y__c3__lag_1
142,15,RIGHT_SHOULDER_DIST_y__approximate_entropy__m_20__r_0.05
160,15,LEFT_ELBOW_POS_y__approximate_entropy__m_20__r_0.05
185,15,RIGHT_ELBOW_POS_x__maximum
187,15,RIGHT_ELBOW_POS_x__approximate_entropy__m_20__r_0.05
199,15,RIGHT_ELBOW_DIST_x__abs_energy
223,15,LEFT_WRIST_POS_x__approximate_entropy__m_20__r_0.05
317,15,LEFT_HIP_DIST_y__kurtosis
322,15,LEFT_HIP_DIST_y__approximate_entropy__m_20__r_0.05
325,15,RIGHT_HIP_POS_x__abs_energy
331,15,RIGHT_HIP_POS_x__approximate_entropy__m_20__r_0.05
336,15,RIGHT_HIP_POS_y__mean
340,15,RIGHT_HIP_POS_y__approximate_entropy__m_20__r_0.05
364,15,LEFT_KNEE_POS_x__standard_deviation
385,15,LEFT_KNEE_DIST_x__approximate_entropy__m_20__r_0.05
8,16,LEFT_EYE_OUTER_POS_x__c3__lag_1
39,16,RIGHT_EYE_OUTER_POS_x__mean
43,16,RIGHT_EYE_OUTER_POS_x__approximate_entropy__m_20__r_0.05
44,16,RIGHT_EYE_OUTER_POS_x__c3__lag_1
77,16,LEFT_SHOULDER_POS_x__maximum
106,16,LEFT_SHOULDER_DIST_y__approximate_entropy__m_20__r_0.05
109,16,RIGHT_SHOULDER_POS_x__abs_energy
111,16,RIGHT_SHOULDER_POS_x__mean
113,16,RIGHT_SHOULDER_POS_x__maximum
124,16,RIGHT_SHOULDER_POS_y__approximate_entropy__m_20__r_0.05
152,16,LEFT_ELBOW_POS_x__c3__lag_1
178,16,LEFT_ELBOW_DIST_y__approximate_entropy__m_20__r_0.05
183,16,RIGHT_ELBOW_POS_x__mean
214,16,RIGHT_ELBOW_DIST_y__approximate_entropy__m_20__r_0.05
259,16,RIGHT_WRIST_POS_x__approximate_entropy__m_20__r_0.05
293,16,LEFT_HIP_POS_x__maximum
296,16,LEFT_HIP_POS_x__c3__lag_1
302,16,LEFT_HIP_POS_y__maximum
304,16,LEFT_HIP_POS_y__approximate_entropy__m_20__r_0.05
349,16,RIGHT_HIP_DIST_x__approximate_entropy__m_20__r_0.05
